state,incident_type,ih_program_declared,ia_program_declared,hm_program_declared,pa_program_declared,incident_month,incident_year,#disasters,state_name
ME,Biological,Yes,No,Yes,Yes,January,2020,436,Maine
TX,Biological,No,No,No,Yes,January,2020,258,Texas
TX,Biological,Yes,No,Yes,Yes,January,2020,257,Texas
TX,Severe Ice Storm,No,No,No,Yes,February,2021,254,Texas
ME,Biological,No,No,No,Yes,January,2020,180,Maine
GA,Biological,Yes,No,Yes,Yes,January,2020,160,Georgia
GA,Biological,No,No,No,Yes,January,2020,160,Georgia
GA,Hurricane,No,No,No,Yes,September,2017,159,Georgia
GA,Hurricane,No,No,Yes,Yes,September,2017,152,Georgia
VA,Biological,No,No,No,Yes,January,2020,138,Virginia
VA,Biological,Yes,No,Yes,Yes,January,2020,138,Virginia
VA,Hurricane,No,No,No,Yes,October,2012,136,Virginia
VA,Hurricane,No,No,No,Yes,September,2018,134,Virginia
SD,Biological,Yes,No,Yes,No,January,2020,130,South Dakota
TX,Severe Ice Storm,Yes,No,Yes,Yes,February,2021,129,Texas
LA,Hurricane,No,No,No,Yes,October,2020,128,Louisiana
OK,Biological,No,No,No,Yes,January,2020,127,Oklahoma
TX,Severe Ice Storm,No,No,Yes,Yes,February,2021,125,Texas
TX,Fire,No,No,Yes,Yes,April,2011,122,Texas
KS,Biological,Yes,No,Yes,Yes,January,2020,121,Kansas
KY,Biological,Yes,No,Yes,Yes,January,2020,120,Kentucky
KY,Biological,No,No,No,Yes,January,2020,120,Kentucky
MO,Biological,No,No,No,Yes,January,2020,115,Missouri
MO,Severe Storm,No,No,No,Yes,January,2011,115,Missouri
MO,Biological,Yes,No,Yes,Yes,January,2020,115,Missouri
OK,Biological,Yes,No,Yes,Yes,January,2020,112,Oklahoma
KS,Biological,No,No,No,Yes,January,2020,112,Kansas
GA,Hurricane,No,No,No,Yes,October,2018,108,Georgia
MN,Biological,No,No,No,Yes,January,2020,107,Minnesota
MN,Biological,Yes,No,Yes,Yes,January,2020,107,Minnesota
NC,Biological,Yes,No,Yes,Yes,January,2020,106,North Carolina
NE,Biological,No,No,No,Yes,January,2020,104,Nebraska
NC,Hurricane,No,No,No,Yes,September,2019,103,North Carolina
IL,Biological,No,No,No,Yes,January,2020,102,Illinois
IA,Biological,No,No,No,Yes,January,2020,102,Iowa
IL,Biological,Yes,No,Yes,Yes,January,2020,102,Illinois
NC,Biological,No,No,No,Yes,January,2020,101,North Carolina
NE,Biological,Yes,No,Yes,Yes,January,2020,101,Nebraska
IA,Biological,Yes,No,Yes,Yes,January,2020,101,Iowa
NC,Hurricane,No,No,No,Yes,July,2020,101,North Carolina
NC,Hurricane,No,No,No,Yes,September,2018,101,North Carolina
NC,Hurricane,No,No,No,Yes,September,2022,101,North Carolina
TN,Biological,Yes,No,Yes,Yes,January,2020,95,Tennessee
TN,Biological,No,No,No,Yes,January,2020,95,Tennessee
MI,Biological,No,No,No,Yes,January,2020,94,Michigan
MI,Biological,Yes,No,Yes,Yes,January,2020,94,Michigan
