incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Tsunami,California,2011,April,Recreational or Other,7,25164215
Tsunami,California,2011,April,Debris Removal,9,7924706
Tsunami,Hawaii,2011,April,Recreational or Other,11,5984917
Tsunami,Oregon,2011,March,Recreational or Other,2,4596545
Tsunami,California,2011,April,Public Utilities,7,1964805
Tsunami,California,2011,April,Protective Measures,7,1466535
Tsunami,California,2011,April,State Management,34,1041805
Tsunami,Hawaii,2011,April,Protective Measures,3,729647
Tsunami,Oregon,2011,March,Debris Removal,1,711173
Tsunami,Oregon,2011,March,State Management,37,189481
Tsunami,Hawaii,2011,April,Public Buildings,26,175229
Tsunami,Oregon,2011,March,Protective Measures,1,100018
Tsunami,California,2011,April,Public Buildings,10,96764
Tsunami,Hawaii,2011,April,State Management,8,78739
Tsunami,California,2011,April,Water Control Facilities,6,44883
Tsunami,Hawaii,2011,April,Roads and Bridges,5,36535
Tsunami,Hawaii,2011,April,Debris Removal,2,23177
Tsunami,Hawaii,2011,April,Public Utilities,1,22163
Tsunami,Oregon,2011,March,Public Utilities,9,14606
Tropical Storm,New York,2020,October,Utilities,21,642005817
Tropical Storm,New York,2021,September,Buildings and Equipment,21,85739327
Tropical Storm,New York,2020,October,Debris Removal,16,77290610
Tropical Storm,New Jersey,2021,September,Buildings and Equipment,15,73301155
Tropical Storm,New York,2021,October,Roads and Bridges,21,60098342
Tropical Storm,Texas,2020,August,Emergency Protective Measures,7,55931216
Tropical Storm,Mississippi,2020,December,Debris Removal,6,51264573
Tropical Storm,New Jersey,2021,September,Roads and Bridges,14,46813896
Tropical Storm,New York,2020,October,Management Costs,19,44413660
Tropical Storm,New Jersey,2021,September,Emergency Protective Measures,10,41967496
Tropical Storm,Texas,2020,December,Debris Removal,17,39723482
Tropical Storm,New Jersey,2021,September,Debris Removal,11,37908360
Tropical Storm,New York,2021,September,Roads and Bridges,19,36214253
Tropical Storm,Texas,2024,July,Debris Removal,2,35739237
Tropical Storm,Connecticut,2021,January,Debris Removal,10,31519231
Tropical Storm,New Jersey,2021,September,Utilities,15,27508296
Tropical Storm,New Jersey,2021,September,"Parks, Recreational Facilities, and Other Items",14,26414716
Tropical Storm,New Jersey,2021,September,Management Costs,17,26130217
Tropical Storm,North Carolina,2021,March,Roads and Bridges,10,25629853
Tropical Storm,Mississippi,2020,December,"Parks, Recreational Facilities, and Other Items",9,25433236
